id_original,id_souldata,nombre_tripadvisor,nombre_souldata,link,score,n_reviews,description,categoria,subcategoría,departamento,ciudad,entra_analisis,entra_global,lat,long,geo_manual
190,189,Solo Patagonia S.A. Day Tours,Solo Patagonia,/Attraction_Review-g312851-d2613402-Reviews-Solo_Patagonia_S_A_Day_Tours-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.5,220,Boat Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3386116,-72.2673262,1
191,190,Cal Tur Travel And Tourism,CALTUR,/Attraction_Review-g316035-d7658165-Reviews-Cal_Tur_Travel_And_Tourism-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,3.5,82,Bus Services â€¢ Sightseeing Tours,Prestadores turísticos,Transporte,Lago Argentino,El Calafate,1.0,1.0,-50.3379036,-72.2640403,1
192,191,Fitz Roy Expediciones,Fitz Roy Expediciones,/Attraction_Review-g316035-d12873156-Reviews-Fitz_Roy_Expediciones-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,13,Multi-day Tours â€¢ Ski & Snow Tours,Prestadores turísticos,Receptivos,repetido 255,,,,-49.3304491,-72.8861306,1
193,192,Calafate Exclusivo,Calafate Exclusivo,/Attraction_Review-g312851-d13148372-Reviews-Calafate_Exclusivo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,12,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.337974,-72.2649736,1
194,193,Arte Indio,Arte Indio,/Attraction_Review-g312851-d5484260-Reviews-Arte_Indio-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.5,96,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,Lago Argentino,El Calafate,1.0,1.0,-50.337883,-72.264893,0
195,194,Chalten Travel Rent A Car,Chalten Travel Rent A Car,/Attraction_Review-g312851-d20105146-Reviews-Chalten_Travel_Rent_A_Car-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,17,"Multi-day Tours â€¢ 4WD, ATV & Off-Road Tours",Prestadores turísticos,Receptivos,,,,,-50.3379694,-72.2657329,1
196,195,Marcopolo Bookstore,Marcopolo,/Attraction_Review-g316035-d7244897-Reviews-Marcopolo_Bookstore-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,16,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-49.3324027,-72.8852814,1
197,196,Shackleton Solo,Shackleton Solo,/Attraction_Review-g312851-d16907429-Reviews-Shackleton_Solo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,14,Bars & Clubs â€¢ Jazz Bars,Prestadores turísticos,Comercio y gastronomía,,,,,-50.340305,-72.29911,0
198,197,Patagonia Ascent,Patagonia Ascent,/Attraction_Review-g316035-d12941928-Reviews-Patagonia_Ascent-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,8,Climbing Tours,Prestadores turísticos,Receptivos,,,,,-49.3249342,-72.8931705,1
199,198,South Road Patagonia Extrema,South Road Patagonia Extrema,/Attraction_Review-g312851-d15740245-Reviews-South_Road_Patagonia_Extrema-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,18,Multi-day Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-50.3383652,-72.2667634,1
